epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.265,1.44585,3.55068,1.62516,0.46146,0.32658,0.31504,0.24489,1.53269,3.40322,1.70401,0.00331439,0.00331439,0.0701705
2,342.069,1.42182,2.67698,1.57564,0.6301,0.40506,0.39873,0.27115,1.59655,2.93447,1.73968,0.0065161,0.0065161,0.0400388
3,579.24,1.49762,2.49676,1.63347,0.35649,0.39107,0.33974,0.22835,1.79057,3.22561,1.85822,0.00958581,0.00958581,0.0097752
4,762.099,1.60988,2.53191,1.71562,0.58941,0.2936,0.29008,0.19255,1.7664,3.55363,1.95819,0.009406,0.009406,0.009406
5,958.732,1.55038,2.38942,1.66096,0.47031,0.41789,0.4144,0.29213,1.74772,2.68662,1.90987,0.009208,0.009208,0.009208
6,1165.46,1.52231,2.30612,1.64596,0.42613,0.43205,0.42509,0.29222,1.73108,2.63528,1.89479,0.00901,0.00901,0.00901
7,1388.08,1.50921,2.22374,1.63049,0.41019,0.4305,0.37528,0.26009,1.79818,2.91239,1.94875,0.008812,0.008812,0.008812
8,1620.37,1.48277,2.15587,1.61221,0.53033,0.48586,0.47753,0.34751,1.57483,2.37697,1.73223,0.008614,0.008614,0.008614
9,1897.76,1.43827,2.07501,1.5889,0.53416,0.47889,0.47695,0.33754,1.59589,2.36367,1.7497,0.008416,0.008416,0.008416
10,2077.87,1.42229,1.99322,1.56031,0.56566,0.52586,0.52395,0.3907,1.56366,2.11346,1.67667,0.008218,0.008218,0.008218
11,2248.09,1.39594,1.96876,1.54904,0.55528,0.52352,0.52766,0.3965,1.52337,2.13814,1.67328,0.00802,0.00802,0.00802
12,2415.66,1.37238,1.93585,1.52225,0.55325,0.53226,0.53178,0.39506,1.51326,2.13383,1.65767,0.007822,0.007822,0.007822
13,2616.12,1.35088,1.88257,1.52013,0.60743,0.5559,0.56062,0.40667,1.43609,2.02862,1.58598,0.007624,0.007624,0.007624
14,2881.01,1.33099,1.82083,1.49181,0.54229,0.54776,0.5293,0.40589,1.49965,2.09658,1.68257,0.007426,0.007426,0.007426
15,3095.29,1.31485,1.80094,1.49295,0.67904,0.50052,0.54631,0.41932,1.42849,1.93496,1.58412,0.007228,0.007228,0.007228
16,3325.41,1.30636,1.73919,1.47138,0.59527,0.55277,0.56094,0.42991,1.41308,1.96966,1.57583,0.00703,0.00703,0.00703
17,3542.79,1.29783,1.72508,1.46845,0.59721,0.57639,0.58687,0.44581,1.38469,1.86544,1.54623,0.006832,0.006832,0.006832
18,3734.28,1.28081,1.70298,1.45946,0.6262,0.57792,0.60512,0.45163,1.41161,1.7767,1.53643,0.006634,0.006634,0.006634
19,3907.49,1.25386,1.65994,1.43553,0.57199,0.54522,0.57155,0.42433,1.42415,1.95441,1.57676,0.006436,0.006436,0.006436
20,4081.74,1.25487,1.64738,1.43044,0.62097,0.57522,0.58946,0.45322,1.37978,1.83094,1.52414,0.006238,0.006238,0.006238
21,4253.42,1.22696,1.60666,1.42029,0.6017,0.57621,0.58781,0.44838,1.3656,1.86434,1.52345,0.00604,0.00604,0.00604
22,4422.34,1.22488,1.58765,1.41278,0.60211,0.58025,0.59571,0.45632,1.40181,1.81033,1.55374,0.005842,0.005842,0.005842
23,4600.47,1.21115,1.55514,1.3973,0.62315,0.5531,0.58365,0.44617,1.36569,1.81201,1.53278,0.005644,0.005644,0.005644
24,4785.69,1.20269,1.54664,1.39054,0.65675,0.59226,0.60724,0.46368,1.3383,1.74716,1.50763,0.005446,0.005446,0.005446
25,4959.78,1.19787,1.52714,1.39666,0.64407,0.58845,0.60885,0.4698,1.34567,1.76375,1.50912,0.005248,0.005248,0.005248
26,5128.84,1.18384,1.48959,1.37416,0.62486,0.58374,0.61451,0.47386,1.35646,1.73809,1.52181,0.00505,0.00505,0.00505
27,5302.69,1.16396,1.43833,1.3597,0.63554,0.5904,0.61816,0.48178,1.32366,1.66701,1.48596,0.004852,0.004852,0.004852
28,5479.63,1.15747,1.42739,1.35739,0.63762,0.63358,0.63071,0.48514,1.29725,1.59063,1.44255,0.004654,0.004654,0.004654
29,5658.54,1.13865,1.41526,1.34138,0.63511,0.61508,0.62237,0.48561,1.31809,1.64203,1.45332,0.004456,0.004456,0.004456
30,5857.09,1.14131,1.39749,1.34492,0.66913,0.61994,0.64604,0.49668,1.30528,1.57577,1.46915,0.004258,0.004258,0.004258
31,264.512,1.12571,1.37972,1.3362,0.64571,0.63678,0.63963,0.4986,1.28677,1.56406,1.44911,0.00406,0.00406,0.00406
32,436.419,1.10789,1.34381,1.32176,0.64656,0.63474,0.64907,0.50375,1.29183,1.56442,1.44521,0.003862,0.003862,0.003862
33,649.115,1.10184,1.33023,1.31365,0.65489,0.64289,0.64784,0.4946,1.30927,1.55914,1.46435,0.003664,0.003664,0.003664
34,874.064,1.11489,1.32433,1.3256,0.68624,0.62223,0.65024,0.5007,1.31848,1.61077,1.47309,0.003466,0.003466,0.003466
35,1051,1.08603,1.28036,1.2983,0.65433,0.64698,0.65982,0.50951,1.27865,1.54539,1.43968,0.003268,0.003268,0.003268
36,1246.35,1.07525,1.2738,1.2908,0.66476,0.63234,0.66008,0.51549,1.26333,1.52455,1.42134,0.00307,0.00307,0.00307
37,1417.32,1.07741,1.26267,1.28735,0.70072,0.62556,0.65888,0.50811,1.30257,1.56094,1.46314,0.002872,0.002872,0.002872
38,1599.67,1.06862,1.24424,1.28404,0.72337,0.62188,0.66581,0.52102,1.27703,1.51304,1.42975,0.002674,0.002674,0.002674
39,1776.57,1.04375,1.20674,1.27209,0.71683,0.64458,0.67419,0.51916,1.27969,1.48799,1.44225,0.002476,0.002476,0.002476
40,1992.94,1.04205,1.18337,1.26908,0.6863,0.66299,0.67829,0.52937,1.26273,1.46965,1.41481,0.002278,0.002278,0.002278
41,2173.23,1.04615,1.18702,1.27249,0.67452,0.64404,0.65437,0.50999,1.29926,1.56382,1.46925,0.00208,0.00208,0.00208
42,2330.51,1.00809,1.11532,1.24627,0.69798,0.65678,0.67768,0.5239,1.25305,1.47048,1.41538,0.001882,0.001882,0.001882
43,2480.87,0.99793,1.06983,1.23466,0.72192,0.64336,0.6737,0.52287,1.28229,1.46707,1.44454,0.001684,0.001684,0.001684
44,2632.18,0.98328,1.03668,1.22448,0.70563,0.65889,0.6792,0.53189,1.24275,1.4587,1.40878,0.001486,0.001486,0.001486
45,2793.57,0.97239,1.016,1.22002,0.70414,0.65587,0.67868,0.53206,1.26372,1.44459,1.4326,0.001288,0.001288,0.001288
46,2953.46,0.95907,0.99981,1.20848,0.71884,0.65575,0.69116,0.53389,1.25215,1.41586,1.4158,0.00109,0.00109,0.00109
