epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.037,1.2377,3.7876,1.38585,0.53635,0.15163,0.12468,0.09065,1.08998,2.93369,1.30911,0.0033165,0.0033165,0.0701515
2,309.495,1.10529,2.41522,1.25486,0.40443,0.41814,0.31062,0.21482,1.04261,2.14205,1.27459,0.00651816,0.00651816,0.0400198
3,457.636,1.08363,1.92675,1.22781,0.34213,0.42477,0.34853,0.24373,1.0211,1.90296,1.24246,0.00958783,0.00958783,0.00975618
4,613.61,1.09687,1.77867,1.22473,0.46022,0.53356,0.44756,0.31314,1.02125,1.62195,1.2256,0.009406,0.009406,0.009406
5,767.419,1.063,1.65896,1.2029,0.51462,0.57188,0.50345,0.35936,0.95049,1.4722,1.14819,0.009208,0.009208,0.009208
6,919.436,1.01767,1.50769,1.16705,0.51409,0.54665,0.49554,0.35798,0.92182,1.47402,1.14023,0.00901,0.00901,0.00901
7,1073.72,0.99746,1.43858,1.15561,0.56662,0.65413,0.584,0.42355,0.87294,1.257,1.10339,0.008812,0.008812,0.008812
8,1232.49,0.96372,1.35073,1.13498,0.51351,0.67881,0.53208,0.40233,0.86261,1.28743,1.08418,0.008614,0.008614,0.008614
9,1379.89,0.94766,1.28992,1.12451,0.48096,0.67845,0.52134,0.39312,0.82634,1.22981,1.07218,0.008416,0.008416,0.008416
10,1533.57,0.92846,1.24356,1.10953,0.50366,0.71849,0.59258,0.44446,0.82653,1.05287,1.06916,0.008218,0.008218,0.008218
11,1684.85,0.9036,1.19021,1.09765,0.46889,0.66587,0.53766,0.42428,0.79062,1.10865,1.04293,0.00802,0.00802,0.00802
12,1829.11,0.8969,1.14351,1.09046,0.52325,0.69524,0.58557,0.45534,0.79034,0.98774,1.04452,0.007822,0.007822,0.007822
13,1979.75,0.88551,1.13934,1.08851,0.56709,0.72892,0.6427,0.51057,0.76481,0.93338,1.02129,0.007624,0.007624,0.007624
14,2128.97,0.86993,1.09701,1.07508,0.52181,0.71903,0.5964,0.45864,0.77343,0.98202,1.02644,0.007426,0.007426,0.007426
